class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3201.0,3194.0,714
471.0,1344.0,708.0,714.0,1639.0,1723.0,1110.0,721.0,1383.0,4026.0,2450.0,814
184.0,995.0,710.0,931.0,1276.0,1655.0,1231.0,972.0,1859.0,4779.0,2247.0,898
62.0,614.0,585.0,891.0,1321.0,1479.0,1223.0,1184.0,2454.0,5341.0,2238.0,973
17.0,318.0,418.0,753.0,1251.0,1502.0,1145.0,1272.0,3137.0,5915.0,2079.0,1066
2.0,133.0,270.0,560.0,1110.0,1410.0,1203.0,1294.0,3831.0,6401.0,1870.0,1137
0.0,44.0,145.0,383.0,904.0,1297.0,1117.0,1391.0,4532.0,6761.0,1683.0,1180
0.0,16.0,60.0,229.0,694.0,1141.0,998.0,1340.0,5335.0,6991.0,1521.0,1225
0.0,4.0,23.0,111.0,496.0,969.0,875.0,1236.0,6099.0,7120.0,1406.0,1260
0.0,0.0,10.0,46.0,311.0,781.0,773.0,1111.0,6781.0,7192.0,1337.0,1274
