class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
32239.0,1344.0,708.0,714.0,1639.0,1723.0,1110.0,721.0,1383.0,4749.0,2468.0,814
54606.0,10109.0,710.0,931.0,1276.0,1655.0,1231.0,972.0,1859.0,5621.0,2252.0,898
0,0,0,0,2.0,0,0,0,0,0,2243.0,973
31768.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2
54150.0,9386.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2
0,0,0,0,0,0,0,0,0,0,2.0,2
31768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
54150.0,9386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0.0,0
