class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3201.0,3194.0,714
115991.0,1344.0,708.0,714.0,1639.0,1723.0,1110.0,721.0,1383.0,4026.0,2450.0,814
198254.0,33965.0,710.0,931.0,1276.0,1655.0,1231.0,972.0,1859.0,4779.0,2247.0,898
256734.0,79952.0,11135.0,891.0,1321.0,835.0,73.0,42.0,43.0,0,2238.0,973
298595.0,127607.0,32071.0,5313.0,1251.0,1016.0,536.0,73.0,84.0,996.0,6564.0,713
328197.0,171953.0,59679.0,16927.0,2919.0,1002.0,698.0,534.0,157.0,1669.0,19846.0,722
349570.0,210395.0,89335.0,35474.0,9195.0,725.0,0.0,0.0,0,0,44669.0,725
364732.0,242163.0,118826.0,58609.0,20690.0,4472.0,722.0,0.0,0,4472.0,79299.0,722
375562.0,268149.0,145546.0,83864.0,37639.0,12082.0,2170.0,722.0,0,13143.0,121503.0,1831
383382.0,288487.0,169366.0,109750.0,57887.0,3610.0,0,0,0,0,167637.0,3610
