class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3201.0,3194.0,714
115991.0,1344.0,708.0,714.0,1639.0,1723.0,1110.0,721.0,1383.0,4026.0,2450.0,814
198254.0,33965.0,710.0,931.0,1276.0,1655.0,1231.0,972.0,1859.0,4779.0,2247.0,898
256734.0,79952.0,11135.0,891.0,1321.0,1479.0,1223.0,1184.0,2454.0,5341.0,2238.0,973
298595.0,127607.0,32071.0,5313.0,1251.0,1502.0,1145.0,1272.0,3137.0,5990.0,6564.0,1066
328197.0,171953.0,59679.0,16927.0,2919.0,1410.0,1203.0,1294.0,3831.0,6601.0,19846.0,1137
349570.0,210395.0,89335.0,35474.0,9195.0,1924.0,1117.0,1391.0,4532.0,7735.0,44669.0,1229
364732.0,242163.0,118826.0,58609.0,20690.0,5379.0,1379.0,1340.0,5335.0,11780.0,79299.0,1653
375562.0,268149.0,145546.0,83864.0,37639.0,12545.0,3013.0,1556.0,6099.0,20546.0,121503.0,2667
383382.0,288487.0,169366.0,109750.0,57887.0,23865.0,7310.0,2426.0,7020.0,36241.0,167637.0,4380
