class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3201.0,3194.0,714
115992.0,1380.0,671.0,774.0,1451.0,1826.0,1221.0,619.0,1399.0,4140.0,2322.0,828
198175.0,34091.0,663.0,1005.0,1140.0,1610.0,1489.0,789.0,1891.0,4835.0,2186.0,903
256370.0,81050.0,10402.0,969.0,1251.0,1373.0,1482.0,977.0,2499.0,5333.0,2247.0,971
297524.0,130054.0,31408.0,4678.0,1214.0,1403.0,1364.0,1036.0,3212.0,5953.0,5892.0,1062
327081.0,175082.0,58621.0,16721.0,2226.0,1359.0,1384.0,997.0,3942.0,6553.0,18947.0,1129
348004.0,214523.0,88247.0,34921.0,8446.0,1789.0,1302.0,1066.0,4635.0,7582.0,43367.0,1210
362444.0,247731.0,117569.0,57327.0,19795.0,5657.0,1529.0,996.0,5405.0,11917.0,77122.0,1670
372552.0,275103.0,143840.0,82378.0,34661.0,14528.0,3629.0,1151.0,6131.0,22583.0,117039.0,2856
379772.0,296742.0,167559.0,106769.0,52269.0,27287.0,10081.0,2020.0,6994.0,41413.0,159038.0,4969

