class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3201.0,3194.0,714
115946.0,1298.0,799.0,717.0,1645.0,1716.0,1199.0,630.0,1383.0,4017.0,2459.0,814
180637.0,51460.0,828.0,935.0,1289.0,1651.0,1394.0,809.0,1850.0,4769.0,2264.0,895
216737.0,108198.0,22871.0,903.0,1329.0,834.0,77.0,38.0,43.0,0,2258.0,972
237553.0,155463.0,60161.0,10404.0,1254.0,1022.0,537.0,75.0,81.0,1002.0,11658.0,713
249090.0,191399.0,101886.0,32195.0,5101.0,1007.0,701.0,535.0,156.0,1677.0,37296.0,722
255588.0,216611.0,141088.0,62721.0,16771.0,734.0,0,0,0,0,79492.0,734
259198.0,233928.0,174071.0,96790.0,36829.0,7495.0,722,0,0,6773.0,133619.0,1444
261364.0,244758.0,200063.0,130924.0,63164.0,20407.0,3151,722,0,21392.0,194088.0,2888
262086.0,252700.0,219499.0,161066.0,92601.0,5776.0,0,0,0,0,253667.0,5776
