class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3218.0,3177.0,714
116501.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3218.0,3177.0,714
232021.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3218.0,3177.0,714
115520,232021.0,1508.0,215.0,1117.0,937.0,129.0,32.0,34.0,0,1539.0,925
231040,232021.0,1508.0,215.0,1117.0,937.0,129.0,32.0,34.0,381.0,1452.0,631
115520,231040,232021.0,1508.0,215.0,1117.0,937.0,129.0,66.0,1545.0,1780.0,647
231040,231040,232021.0,1508.0,215.0,489.0,139.0,43.0,33.0,0,1780.0,647
115520,231040,231040,232021.0,1508.0,215.0,489.0,139.0,76.0,260.0,233529.0,659
231040,231040,231040,232021.0,1508.0,215.0,489.0,139.0,76.0,260.0,233529.0,659
346560,231040,231040,232021.0,1508.0,181.0,334.0,98.0,46.0,0,233529.0,659
115520,346560,231040,231040,232021.0,1508.0,181.0,334.0,144.0,1454.0,463061.0,713
231040,346560,231040,231040,232021.0,1508.0,181.0,334.0,144.0,1454.0,463061.0,713
115520,231040,346560,231040,231040,23827.0,0,0,0,0,462080,23827
