class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3201.0,3194.0,714
471.0,1344.0,708.0,714.0,1361.0,1831.0,1269.0,711.0,1404.0,4265.0,2178.0,847
184.0,995.0,710.0,931.0,927.0,1558.0,1585.0,986.0,1937.0,5082.0,1908.0,934
62.0,614.0,585.0,891.0,987.0,1236.0,1515.0,1261.0,2662.0,5637.0,1913.0,1002
17.0,318.0,418.0,753.0,935.0,1186.0,1332.0,1272.0,3582.0,6145.0,1807.0,1108
2.0,133.0,270.0,560.0,808.0,1078.0,1313.0,1166.0,4483.0,6592.0,1650.0,1166
0.0,44.0,145.0,383.0,628.0,955.0,1166.0,1212.0,5280.0,6905.0,1515.0,1204
0.0,16.0,60.0,229.0,463.0,769.0,1030.0,1113.0,6133.0,7078.0,1414.0,1245
0.0,4.0,23.0,111.0,312.0,596.0,874.0,1002.0,6891.0,7169.0,1345.0,1272
0.0,0.0,10.0,46.0,178.0,436.0,704.0,897.0,7542.0,7190.0,1319.0,1294
