class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3201.0,3194.0,714
115991.0,1344.0,708.0,714.0,1361.0,1831.0,1269.0,711.0,1404.0,4265.0,2178.0,847
197562.0,34657.0,710.0,931.0,927.0,1558.0,1585.0,986.0,1937.0,5082.0,1908.0,934
255755.0,80938.0,11128.0,891.0,987.0,1236.0,1515.0,1261.0,2662.0,5637.0,1913.0,1002
296864.0,129577.0,31795.0,5350.0,935.0,1186.0,1332.0,1272.0,3582.0,6264.0,6285.0,1108
325744.0,175050.0,59016.0,16918.0,2645.0,1078.0,1313.0,1166.0,4483.0,6874.0,19563.0,1166
346560.0,214156.0,88597.0,34951.0,9004.0,2007.0,1166.0,1212.0,5280.0,8377.0,43955.0,1288
361000.0,247329.0,117510.0,57314.0,20241.0,6283.0,1530.0,1113.0,6133.0,13205.0,77555.0,1854
371108.0,274490.0,143777.0,82314.0,34926.0,14802.0,4239.0,1426.0,6891.0,24317.0,117240.0,3041
378328.0,296020.0,166972.0,106901.0,51984.0,28011.0,10335.0,3013.0,7929.0,44051.0,158885.0,5237
