class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3201.0,3194.0,714
471.0,1261.0,791.0,714.0,1639.0,1723.0,1108.0,707.0,1399.0,4026.0,2450.0,814
184.0,888.0,813.0,935.0,1276.0,1655.0,1230.0,916.0,1916.0,4779.0,2251.0,898
62.0,505.0,685.0,897.0,1324.0,1479.0,1221.0,1070.0,2570.0,5341.0,2247.0,973
17.0,225.0,500.0,761.0,1251.0,1505.0,1142.0,1104.0,3308.0,5918.0,2087.0,1066
2.0,83.0,309.0,566.0,1112.0,1411.0,1203.0,1076.0,4051.0,6404.0,1878.0,1137
0.0,27.0,151.0,389.0,904.0,1299.0,1117.0,1163.0,4763.0,6766.0,1689.0,1180
0.0,7.0,58.0,235.0,694.0,1141.0,1001.0,1109.0,5568.0,6995.0,1527.0,1226
0.0,1.0,21.0,111.0,496.0,969.0,875.0,1008.0,6332.0,7125.0,1406.0,1260
0.0,0.0,8.0,43.0,311.0,781.0,773.0,880.0,7017.0,7195.0,1334.0,1276
