class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3201.0,3194.0,714
115991.0,1261.0,791.0,714.0,1639.0,1723.0,1108.0,707.0,1399.0,4026.0,2450.0,814
198732.0,33380.0,813.0,935.0,1276.0,1655.0,1230.0,916.0,1916.0,4779.0,2251.0,898
257921.0,77155.0,12736.0,897.0,1324.0,835.0,73.0,41.0,44.0,0,2247.0,973
300474.0,121131.0,35838.0,6140.0,1251.0,1019.0,536.0,73.0,84.0,999.0,7391.0,713
330798.0,160794.0,65171.0,19356.0,3553.0,1005.0,698.0,534.0,157.0,1672.0,22909.0,722
352458.0,194005.0,96212.0,39894.0,10946.0,725.0,0,0,0,0,50840.0,725
368342.0,220712.0,125784.0,64301.0,24580.0,5319.0,722,0,0,5319.0,88881.0,722
379772.0,241772.0,152349.0,90405.0,43182.0,14662.0,2416,722,0,15634.0,133587.0,2166
387714.0,258256.0,174846.0,116256.0,64909.0,4332.0,0,0,0,0,181165.0,4332
