class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3201.0,3194.0,714
115991.0,1261.0,791.0,714.0,1639.0,1723.0,1108.0,707.0,1399.0,4026.0,2450.0,814
198732.0,33380.0,813.0,935.0,1276.0,1655.0,1230.0,916.0,1916.0,4779.0,2251.0,898
257921.0,77155.0,12736.0,897.0,1324.0,1479.0,1221.0,1070.0,2570.0,5341.0,2247.0,973
300474.0,121131.0,35838.0,6140.0,1251.0,1505.0,1142.0,1104.0,3308.0,5993.0,7391.0,1066
330798.0,160794.0,65171.0,19356.0,3553.0,1411.0,1203.0,1076.0,4051.0,6604.0,22909.0,1137
352458.0,194005.0,96212.0,39894.0,10946.0,2375.0,1117.0,1163.0,4763.0,8151.0,50840.0,1267
368342.0,220712.0,125784.0,64301.0,24580.0,6628.0,1429.0,1109.0,5568.0,12906.0,88881.0,1828
379772.0,241772.0,152349.0,90405.0,43182.0,15224.0,3578.0,1359.0,6332.0,23531.0,133587.0,2962
387714.0,258256.0,174846.0,116256.0,64909.0,28804.0,9136.0,2262.0,7310.0,42454.0,181165.0,5058
