all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
8223.0,299.0,2194.0,1117.0,655.0,1471.0,1596.0,703.0,147.0,41.0,2367.0,2229.0,584
9026.0,60.0,2488.0,1794.0,761.0,946.0,1438.0,1053.0,439.0,47.0,2831.0,1815.0,592
9908.0,6.0,2466.0,2166.0,1141.0,825.0,1161.0,1160.0,833.0,150.0,3232.0,2021.0,620
8748.0,2.0,2349.0,2222.0,1543.0,988.0,922.0,600.0,111.0,11.0,1630.0,2544.0,522
9603.0,0,2518.0,2310.0,1600.0,1180.0,943.0,672.0,367.0,13.0,1961.0,2808.0,523
10542.0,0,2498.0,2419.0,1805.0,1346.0,1061.0,727.0,589.0,97.0,2460.0,3165.0,549
9952.0,0,2476.0,2422.0,1958.0,1532.0,1102.0,421.0,39.0,2.0,1559.0,3495.0,495
10925.0,0,2625.0,2494.0,1926.0,1661.0,1304.0,693.0,220.0,2.0,2210.0,3596.0,531
11993.0,0,2716.0,2575.0,2012.0,1750.0,1474.0,932.0,501.0,33.0,2929.0,3771.0,574
