all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
7114.0,535.0,1200.0,610.0,702.0,1529.0,1624.0,711.0,156.0,47.0,2413.0,2340.0,601
6755.0,277.0,948.0,709.0,628.0,1042.0,1544.0,1094.0,454.0,59.0,2983.0,1797.0,636
6414.0,156.0,743.0,654.0,613.0,779.0,1221.0,1221.0,863.0,164.0,3256.0,1530.0,658
4236.0,104.0,616.0,580.0,585.0,659.0,882.0,631.0,159.0,20.0,1460.0,1425.0,544
4023.0,73.0,530.0,506.0,549.0,589.0,698.0,639.0,412.0,27.0,1499.0,1343.0,533
3820.0,44.0,464.0,456.0,508.0,535.0,582.0,534.0,581.0,116.0,1497.0,1274.0,523
2775.0,31.0,399.0,416.0,472.0,506.0,454.0,269.0,204.0,24.0,647.0,1233.0,455
2635.0,22.0,353.0,373.0,441.0,473.0,430.0,262.0,253.0,28.0,698.0,1151.0,424
2502.0,14.0,311.0,349.0,396.0,447.0,403.0,261.0,269.0,52.0,740.0,1057.0,397
