all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
7491.0,557.0,1431.0,728.0,706.0,1531.0,1624.0,711.0,156.0,47.0,2413.0,2346.0,601
7491.0,299.0,1303.0,982.0,688.0,1056.0,1550.0,1097.0,457.0,59.0,3003.0,1871.0,639
7491.0,170.0,1186.0,1025.0,777.0,832.0,1242.0,1231.0,863.0,165.0,3325.0,1733.0,660
5496.0,107.0,1050.0,986.0,831.0,789.0,921.0,652.0,141.0,19.0,1559.0,1761.0,550
5496.0,71.0,963.0,917.0,846.0,781.0,800.0,685.0,410.0,23.0,1737.0,1777.0,542
5496.0,39.0,898.0,868.0,820.0,770.0,747.0,628.0,614.0,112.0,1905.0,1747.0,534
4353.0,26.0,819.0,830.0,789.0,749.0,659.0,333.0,132.0,16.0,971.0,1682.0,463
4353.0,14.0,753.0,782.0,760.0,723.0,656.0,412.0,239.0,14.0,1150.0,1634.0,450
4353.0,6.0,716.0,746.0,723.0,690.0,630.0,445.0,351.0,46.0,1289.0,1565.0,426
