all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
8151.0,435.0,1976.0,1013.0,692.0,1512.0,1615.0,708.0,154.0,46.0,2397.0,2312.0,595
8870.0,163.0,2206.0,1609.0,782.0,1020.0,1514.0,1077.0,444.0,55.0,2935.0,1923.0,617
9652.0,52.0,2230.0,1972.0,1109.0,866.0,1216.0,1205.0,847.0,155.0,3329.0,2045.0,639
8330.0,19.0,2062.0,2037.0,1494.0,993.0,963.0,633.0,115.0,14.0,1698.0,2511.0,546
9064.0,3.0,2127.0,2047.0,1579.0,1214.0,972.0,707.0,399.0,16.0,2066.0,2818.0,562
9863.0,2.0,2115.0,2142.0,1677.0,1352.0,1078.0,757.0,634.0,106.0,2543.0,3058.0,582
9073.0,0,2027.0,2105.0,1840.0,1486.0,1117.0,448.0,42.0,8.0,1605.0,3336.0,541
9873.0,0,2109.0,2132.0,1787.0,1597.0,1303.0,704.0,234.0,7.0,2230.0,3401.0,561
10744.0,0,2105.0,2178.0,1870.0,1646.0,1452.0,931.0,527.0,35.0,2925.0,3535.0,597
