all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3701.0,3210.0,693
9813,953.0,1267.0,521.0,688.0,1244.0,1862.0,1301.0,687.0,1290.0,4766.0,2057.0,814
9813,894.95655769776,1127.0,638.04344230224,589.0,737.0,1520.0,1635.0,989.0,1683.0,5232.0,1522.0,888
9813,849.0,1030.9565576978,646.04344230224,611.0,512.0,1045.0,1544.0,1271.0,2304.0,5393.0,1369.0,914
9813,834.95655769776,956.0,597.04344230224,614.0,460.0,705.0,1230.0,1274.0,3142.0,5435.0,1368.0,937
9813,827.91311539552,919.0,555.08688460448,579.0,428.0,544.0,903.0,1077.0,3980.0,5440.0,1360.0,952
9813,819.86967309329,891.08688460448,530.04344230224,542.0,392.0,470.0,674.0,837.0,4657.0,5463.0,1335.0,969
9813,822.91311539552,871.04344230224,504.04344230224,518.0,350.0,424.0,534.0,641.0,5148.0,5516.0,1308.0,974
9813,831.91311539552,864.0,485.04344230224,485.0,330.0,371.04344230224,464.0,498.0,5484.0,5517.0,1291.0,986
9813,827.91311539552,854.0,482.04344230224,465.0,308.0,339.04344230224,398.0,436.0,5703.0,5558.0,1274.0,994
