all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
8223.0,301.0,2023.0,1286.0,635.0,1466.0,1611.0,712.0,140.0,49.0,2393.0,2202.0,586
9026.0,61.0,2214.0,1990.0,826.0,920.0,1445.0,1064.0,429.0,77.0,2884.0,1844.0,597
9908.0,6.0,2154.0,2319.0,1247.0,847.0,1151.0,1144.0,788.0,252.0,3283.0,2136.0,622
8713.0,2.0,2006.0,2336.0,1645.0,1067.0,927.0,612.0,103.0,15.0,1650.0,2719.0,525
9564.0,0,2172.0,2407.0,1653.0,1280.0,982.0,678.0,365.0,27.0,2009.0,2971.0,531
10499.0,0,2162.0,2495.0,1820.0,1435.0,1136.0,745.0,530.0,176.0,2577.0,3264.0,550
9830.0,0,2129.0,2474.0,1954.0,1606.0,1165.0,465.0,33.0,4.0,1666.0,3561.0,499
10791.0,0,2261.0,2570.0,1898.0,1697.0,1378.0,748.0,232.0,7.0,2347.0,3613.0,528
11846.0,0,2335.0,2649.0,1979.0,1760.0,1543.0,985.0,509.0,86.0,3116.0,3746.0,589
