all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
7114.0,540.0,1108.0,697.0,682.0,1525.0,1638.0,720.0,150.0,54.0,2440.0,2312.0,602
6755.0,281.0,807.0,813.0,645.0,1017.0,1552.0,1108.0,440.0,92.0,3028.0,1786.0,640
6414.0,156.0,603.0,718.0,659.0,770.0,1212.0,1214.0,812.0,270.0,3298.0,1565.0,663
4212.0,105.0,488.0,613.0,623.0,682.0,882.0,636.0,152.0,31.0,1477.0,1483.0,551
4000.0,75.0,402.0,533.0,571.0,620.0,713.0,634.0,390.0,62.0,1517.0,1406.0,538
3799.0,47.0,346.0,473.0,516.0,567.0,599.0,535.0,501.0,215.0,1527.0,1323.0,526
2738.0,31.0,290.0,423.0,477.0,536.0,474.0,274.0,160.0,73.0,676.0,1271.0,464
2600.0,23.0,251.0,377.0,435.0,499.0,457.0,273.0,188.0,97.0,734.0,1178.0,438
2469.0,14.0,225.0,343.0,390.0,460.0,431.0,268.0,204.0,134.0,776.0,1075.0,416
