all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
7491.0,564.0,1328.0,824.0,686.0,1527.0,1638.0,720.0,150.0,54.0,2440.0,2318.0,602
7491.0,302.0,1141.0,1095.0,718.0,1030.0,1560.0,1110.0,443.0,92.0,3038.0,1878.0,643
7491.0,170.0,994.0,1122.0,839.0,824.0,1232.0,1227.0,812.0,271.0,3358.0,1791.0,667
5476.0,107.0,850.0,1041.0,908.0,813.0,927.0,657.0,142.0,31.0,1591.0,1856.0,558
5476.0,71.0,760.0,958.0,890.0,836.0,820.0,685.0,403.0,53.0,1778.0,1875.0,546
5476.0,40.0,702.0,894.0,846.0,809.0,797.0,634.0,541.0,213.0,1979.0,1816.0,545
4289.0,26.0,632.0,842.0,804.0,787.0,702.0,349.0,112.0,35.0,1011.0,1750.0,477
4289.0,14.0,586.0,777.0,764.0,759.0,698.0,431.0,214.0,46.0,1210.0,1675.0,460
4289.0,6.0,551.0,735.0,726.0,718.0,680.0,461.0,309.0,103.0,1369.0,1598.0,438
