all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3701.0,3210.0,693
7584,1400.6932343682,1153.0,411.0,622.3067656318,1437.0,1302.0,439.8,265.0,554.8,2264.0,2151.0,573
7584,1458.8536812402,1121.1463187598,478.0,465.0,933.0,1334.0,809.8,343.0,642.8,2762.0,1534.0,611
7584,1463.8536812402,1108.1463187598,512.0,437.0,648.0,1079.0,977.8,589.0,770.8,2964.0,1259.0,627
5803,1306.2476859618,1092.1463187598,612.0,463.0,535.60599527844,553.0,386.8,349.2,507.6,1376.0,1159.0,473
5803,1237.0723051914,1056.3216995302,632.0,501.0,499.60599527844,511.0,384.8,354.2,629.6,1437.0,1173.0,484
5803,1217.2186239511,1016.1753807704,602.0,525.0,511.60599527844,477.0,346.8,350.2,759.6,1504.0,1200.0,488
4898,1130.0,975.39400472156,628.0,537.0,521.60599527844,343.0,177.8,165.8,423.6,775.0,1166.0,390
4898,1080.6346691343,939.75933558724,621.0,536.0,529.60599527844,381.0,193.8,164.8,455.6,859.0,1173.0,402
4898,1075.2693382686,904.12466645292,593.0,518.0,526.60599527844,413.0,207.8,182.8,481.6,919.0,1167.0,419
