all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
8151.0,444.0,1824.0,1156.0,671.0,1506.0,1632.0,717.0,148.0,53.0,2426.0,2283.0,597
8870.0,167.0,1951.0,1783.0,847.0,989.0,1521.0,1092.0,436.0,84.0,2989.0,1947.0,622
9652.0,54.0,1924.0,2123.0,1210.0,882.0,1206.0,1191.0,804.0,258.0,3376.0,2156.0,648
8298.0,19.0,1739.0,2121.0,1605.0,1064.0,984.0,634.0,112.0,20.0,1723.0,2693.0,549
9029.0,3.0,1806.0,2094.0,1640.0,1322.0,1018.0,727.0,380.0,39.0,2133.0,2989.0,564
9825.0,2.0,1785.0,2183.0,1712.0,1429.0,1174.0,776.0,574.0,190.0,2687.0,3163.0,582
8937.0,0,1692.0,2104.0,1857.0,1561.0,1197.0,476.0,41.0,9.0,1716.0,3425.0,548
9725.0,0,1776.0,2131.0,1760.0,1656.0,1381.0,768.0,244.0,9.0,2388.0,3429.0,564
10582.0,0,1760.0,2175.0,1827.0,1678.0,1513.0,1003.0,539.0,87.0,3130.0,3516.0,616
