all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,nao_comerc,proib_cort,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,156.0,17.0,3701.0,3210.0,693
8076,2336.0789495194,1306.986696051,230.29247,443.59653996997,1028.5642006713,1375.660496,516.771,261.48,609.18,109.34335685438,12.927943401628,2153.5742170131,1370.5951948052,560
8859,3363.0760497602,2067.8345997785,365.242955266,155.77488144,376.917617348,892.2608898,794.22639261541,286.48594974824,629.359711,131.0862042101,15.896558704453,1753.2302622955,699.80023588383,502
9764,3376.6479367802,2614.9403221795,761.50287609507,220.98827444404,191.12805139851,554.1525506032,796.63925744276,518.355770335,799.14397589948,144.41158905842,17.665789473684,1763.9330976584,615.43023588383,485
9401,3287.9554577022,2828.85121389,1102.3150562142,444.37738046377,173.94698682154,223.45000691206,323.16473169547,325.58392594034,833.11344848369,132.55498945691,18.937813512079,993.55687503033,664.69689185789,383
10362,3535.2065958011,2941.8060391741,1266.6060142109,685.52821293227,272.11948937382,199.66581935241,261.88992696942,278.7342120908,1058.726452133,145.57880902588,20.638754091967,1192.9914284122,864.86614622923,400
11415,3732.8478931041,3141.0916990616,1422.1556359985,890.15187401568,420.33881320416,249.32569434376,221.87319944547,228.25797522799,1249.6457246491,165.84791786786,22.690909246754,1450.8874423726,1135.2248585334,419
11399,3816.1927545298,3229.5943090162,1546.4138979672,1079.6374123017,576.36081617706,327.35491904187,141.88828375184,94.513025153495,766.13864164125,162.0778121589,23.317938924028,871.93054111483,1416.905799964,334
12552,4081.7146719564,3426.7717212927,1635.4091746503,1210.4543076327,716.49111095533,488.95610150597,248.62633442874,109.35054484379,821.34789681121,181.90507188592,26.201668936705,1174.7127330628,1645.7460440048,398
13835,4325.1365289997,3661.8749735688,1754.4279049951,1327.703031888,836.24742677058,646.68473243305,389.07677468818,176.71372061329,899.72163563889,206.08767455727,28.586478571515,1607.967319421,1868.4572862272,461
