all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870,3208,714
8446,143.0,2537.0,1225.0,560.0,1074.0,1700.0,920.0,196.0,91.0,2724,1757,600
9214,3.0,2885.0,1948.0,682.0,529.0,1199.0,1292.0,552.0,124.0,2984,1330,565
10052,0,2953.0,2268.0,991.0,481.0,781.0,1220.0,937.0,421.0,3263,1531,581
9046,0,2827.0,2369.0,1399.0,644.0,613.0,735.0,403.0,56.0,1790,2058,490
9868,0,3012.0,2481.0,1474.0,823.0,648.0,639.0,558.0,233.0,2041,2331,484
10766,0,3062.0,2570.0,1630.0,1002.0,775.0,654.0,527.0,546.0,2491,2642,510
10329,0,3040.0,2590.0,1796.0,1149.0,941.0,585.0,189.0,39.0,1750,2949,491
11268,0,3227.0,2685.0,1776.0,1213.0,1078.0,794.0,413.0,82.0,2351,3002,499
12293,0,3385.0,2772.0,1823.0,1274.0,1187.0,958.0,606.0,288.0,3029,3105,558
