all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,nao_comerc,proib_cort,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,156.0,17.0,3701.0,3210.0,693
8442,2507.7173320618,1481.1318740119,203.0,530.0,1028.0,1387.0,517.8,245.0,544.8,169.25127404681,19.537148816096,2329.2517521496,1683.0034634956,570
9396,3031.381291458,1950.4235278176,351.0,364.0,550.0,1145.0,1005.8,368.0,633.8,186.98852868913,22.18096961518,2630.3081309292,1115.1246214913,591
10458,3417.9446356952,2403.8048192756,634.0,353.92707025655,337.0,770.0,1057.8,683.0,804.8,210.24237946913,24.252666339508,2678.7901409774,926.39115044742,600
9849,3483.9923451121,2812.8747029576,1008.0,494.0,279.0,332.0,408.8,392.92591541356,642.67408458644,227.6061844759,25.564155727314,1305.6876163195,914.25337107526,436
10963,3718.1148820689,3095.8670480698,1271.0,737.0,332.0,281.0,356.8,347.92591541356,828.67408458644,245.66092334476,27.140193432299,1422.4500347294,1142.2892682927,445
12203,4022.24499194,3358.9114348679,1476.0,968.95561320189,475.0,318.0,308.8,306.92591541356,973.67408458644,263.41618666299,28.793154214207,1575.3656278612,1460.2713316267,457
12530,4229.5532860738,3645.0787150529,1693.0,1171.9556132019,649.0,348.0,196.8,143.92591541356,459.45470786972,285.50011092471,31.996979920664,898.82314861216,1767.9646647319,386
13947,4570.3002108941,3891.1564268079,1859.5638772153,1361.9556132019,824.0,533.0,266.8,166.92591541356,480.45470786972,311.21339646053,34.7608003108,1176.6186051891,2126.2961657386,449
15524,5017.5906757019,4152.3072207342,1969.8015970795,1539.9556132019,979.0,730.0,405.8,218.92591541356,518.45470786972,343.89483727076,39.150764732344,1555.8043290949,2468.2032007701,506
