all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870,3208,714
8499,292.0,2052.0,1304.0,632.0,1461.0,1653.0,810.0,199.0,96.0,2629,2190,609
9330,54.0,2237.0,2041.0,840.0,917.0,1464.0,1120.0,521.0,136.0,3087,1872,614
10241,4.0,2177.0,2353.0,1281.0,865.0,1167.0,1177.0,861.0,356.0,3500,2192,647
9192,1.0,2072.0,2372.0,1658.0,1090.0,981.0,736.0,239.0,43.0,1978,2764,558
10091,0,2243.0,2485.0,1686.0,1289.0,1016.0,756.0,514.0,102.0,2325,3028,562
11077,0,2254.0,2581.0,1854.0,1459.0,1159.0,795.0,649.0,326.0,2916,3325,594
10506,0,2221.0,2576.0,2013.0,1639.0,1270.0,619.0,133.0,35.0,2050,3658,569
11532,0,2373.0,2672.0,1971.0,1745.0,1452.0,870.0,398.0,51.0,2742,3742,588
12659,0,2465.0,2763.0,2052.0,1828.0,1591.0,1083.0,662.0,215.0,3539,3892,645
