all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870,3208,714
5148,444.54,1127.0431124517,690.029613795,666.583,1554.405,1658.749,832.161,251.31,127.6,1790,1859,551
4856,200.929212,778.73133176979,786.05645905886,632.47043082155,1092.2348,1582.134265,1173.185838,577.520337,270.69976,2364,1330,564
4521,86.505650631,516.27083619156,692.5774710462,637.64979420486,819.93590066523,1306.448361052,1279.881372988,908.83755809,601.51798512,2556,1091,587
3341,39.70784315046,349.57773417315,553.74596319765,607.49891115816,689.70660093093,1027.2039784112,1034.3208897879,659.36047307804,366.35367896684,1609,1047,544
3222,17.549212709926,250.78214149082,422.75825849343,522.90633870908,604.88529330152,818.96731327802,927.55847897734,854.42779264146,740.23523012827,1587,1037,570
3245,9.7999986879651,194.79113196699,326.14418537878,426.63392585204,518.752142107,665.3072242603,771.60931443216,868.6673869395,1216.3401543891,1688,1003,584
2470,5.5929258565839,158.00726700222,257.69671331371,341.10624680363,440.76387601139,560.81965629846,624.4095903367,653.71456198142,993.59384248674,966,998,584
2527,2.649632232868,133.66955038861,209.74940865293,272.35796924518,360.50013168464,464.60204582735,517.17895454322,609.28270885716,1341.8226736252,1068,938,583
2551,1.5331827337593,120.41026867198,178.50075695069,219.85143670123,294.66667080593,383.66968824853,423.25110889165,522.13522751226,1640.6364001605,1136,887,577
