all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870,3208,714
8446,143.0,2316.0,1446.0,557.0,1341.0,1574.0,785.0,194.0,90.0,2495,1999,587
9214,3.0,2537.0,2216.0,761.0,784.0,1287.0,1030.0,487.0,109.0,2773,1642,539
10052,0,2569.0,2509.0,1104.0,726.0,987.0,1043.0,799.0,315.0,3077,1875,568
9183,0,2461.0,2556.0,1500.0,916.0,846.0,628.0,238.0,38.0,1735,2428,490
10018,0,2611.0,2704.0,1559.0,1100.0,864.0,634.0,445.0,101.0,2019,2683,484
10929,0,2673.0,2772.0,1695.0,1299.0,992.0,658.0,545.0,295.0,2483,3001,511
10509,0,2674.0,2771.0,1845.0,1473.0,1112.0,506.0,107.0,21.0,1741,3322,493
11465,0,2837.0,2912.0,1802.0,1544.0,1275.0,743.0,322.0,30.0,2352,3363,505
12508,0,2998.0,3006.0,1856.0,1609.0,1402.0,936.0,540.0,161.0,3034,3468,551
