all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3701.0,3210.0,693
9813,503.0,1325.9565576978,913.0,688.0,1518.0,1749.0,1158.0,693.0,1266.0,4629.249101565,2310.0793650794,795
9813,256.0,1073.9131153955,1153.0,768.0,1046.0,1621.0,1352.0,956.0,1589.0,5288.4036172424,1914.6666666667,868
9813,123.0,891.91311539552,1138.9565576978,900.0,853.0,1304.0,1355.0,1185.0,2065.0,5615.3132283126,1861.3333333333,905
9813,59.0,766.86967309329,1028.9565576978,918.0,851.0,1046.0,1191.0,1262.0,2694.0,5797.9410388367,1906.8333333333,929
9813,39.0,704.91311539552,920.95655769776,840.95655769776,848.95655769776,922.0,991.0,1188.0,3362.0,5967.997333028,1865.25,953
9813,18.0,686.95655769776,841.86967309329,737.95655769776,800.95655769776,872.0,834.0,1047.0,3980.0,6093.3256770929,1765.75,989
9813,15.0,688.91311539552,803.86967309329,635.95655769776,715.95655769776,805.0,740.0,908.0,4507.0,6154.1613530211,1638.0833333333,1014
9813,6.0,690.86967309329,780.95655769776,595.91311539552,616.95655769776,728.0,655.0,801.0,4945.9565576978,6163.4405155729,1569.1666666667,1033
9813,3.0,691.86967309329,771.91311539552,550.91311539552,563.95655769776,647.0,569.0,710.0,5313.9565576978,6174.7464594856,1512.25,1040
