all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870,3208,714
8797,42.0,2981.0,1807.0,425.0,1137.0,1423.0,733.0,178.0,71.0,2243,1690,544
9997,0,3366.0,2771.0,698.0,633.0,1103.0,903.0,432.0,91.0,2391,1433,486
11360,0,3719.0,3222.0,1092.0,640.0,851.0,878.0,689.0,269.0,2630,1774,507
11320,0,3815.0,3590.0,1598.0,831.0,740.0,509.0,203.0,34.0,1463,2445,444
12863,0,4233.0,3881.0,1816.0,1154.0,802.0,527.0,359.0,91.0,1774,2974,452
14617,0,4726.0,4249.0,2003.0,1398.0,986.0,581.0,433.0,241.0,2227,3413,479
15314,0,5028.0,4646.0,2303.0,1639.0,1135.0,467.0,78.0,18.0,1691,3949,474
17402,0,5658.0,5067.0,2415.0,1855.0,1375.0,736.0,270.0,26.0,2389,4283,502
19775,0,6322.0,5581.0,2615.0,2045.0,1588.0,974.0,524.0,126.0,3195,4675,586
