all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870,3208,714
8467,163.0,2433.7953158128,1516.0,575.0,1368.0,1439.0,534.0,173.0,266.0,2274,2041,572
9572,4.0,2876.3350219918,2496.0,841.0,773.0,1211.0,845.0,302.0,225.0,2387,1747,519
15049,0,5558.539706179,4528.0,1354.0,798.79531581282,961.0,925.0,606.0,319.0,2701,2219,542
20353,0,7918.0,7171.539706179,2710.0,1073.7953158128,819.0,437.0,123.0,102.0,1478,3785,495
25657,0,8448.0,8872.539706179,4515.0,1902.7953158128,964.0,554.0,281.0,121.0,1920,6417,512
30961,0,8906.0,9971.539706179,6131.0,3154.7953158128,1464.0,689.0,430.0,216.0,2799,9285,609
36265,0,10375.0,11344.0,7370.539706179,4540.7953158128,2084.0,390.0,67.0,95.0,2636,11910,674
41569,0,10549.0,11939.0,8414.539706179,5834.7953158128,3283.0,1232.0,217.0,101.0,4833,14248,760
52177,0,14347.0,14228.0,8950.539706179,6992.7953158128,4503.0,2199.0,797.0,161.0,7660,15942,1146
