all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870,3208,714
7656,477.0,1490.0481082267,946.0,678.0,1516.0,1528.0,556.0,184.0,281.0,2417,2292,603
7825,213.0,1430.0003598065,1304.0,740.0,992.0,1486.0,987.0,348.0,326.0,2967,1853,622
7998,94.0,1346.4112702711,1457.0,915.0,796.95225157974,1150.0,1117.0,695.0,428.0,3161,1850,634
6237,39.0,1175.4363907721,1434.0481082267,1115.0,806.95225157974,855.0,519.0,161.0,133.0,1462,2070,552
6375,18.0,1092.6130095159,1364.0,1166.0,927.00035980646,779.0,577.0,306.0,147.0,1613,2244,527
6516,4.0,1062.7333128214,1281.3631620443,1130.1766187438,1001.0003598065,828.0,566.0,429.0,216.0,1886,2250,504
5504,1.0,982.89530806919,1220.3631620443,1073.0732287277,1000.1769785503,774.0,268.0,103.0,84.0,1126,2158,461
5626,1.0,959.2068536145,1161.0,1029.0732287277,950.00035980646,853.36316204434,437.17661874384,160.0,78.0,1420,2062,437
5750,0,950.97479606325,1129.0,983.07322872774,904.00035980646,850.0,553.17661874384,295.36316204434,88.0,1688,1955,424
