all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,nao_comerc,proib_cort,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,156.0,17.0,3701.0,3210.0,693
8060,2339.3738422549,1254.7538833154,278.1224,387.10265187195,1096.9765907694,1358.106984,496.534,293.08,604.56,109.34335685438,12.927943401628,2145.5742170131,1370.5951948052,560
8858,3363.1839459734,1955.6962585423,465.96828523,133.50883253,395.080138918,893.27769752,764.86523888838,317.18745182469,640.78154166927,132.75003435188,16.665789473684,1745.7113190316,691.18023588383,498
9722,3379.9467018245,2369.9690400454,936.97532608967,248.48006486872,198.71312065586,553.72916208339,745.19676796064,572.60652424116,826.15079826936,144.32626461764,17.915789473684,1814.372156435,622.63965944272,486
9325,3275.5668882007,2479.6453335507,1306.3140050134,523.96056032623,210.81861961581,223.31199528811,276.4069823741,340.29371242746,871.12942414178,130.93323556693,19.199682495422,993.13080148728,721.57322111028,379
10267,3528.1799128238,2532.9288618301,1433.3512883607,777.01372923353,363.07479045452,217.80696706227,224.79264960191,284.63115091279,1095.4518601869,145.13812186269,21.071990596677,1235.4048889033,985.53269545104,398
11310,3726.0658270126,2685.7053755615,1562.9585336824,951.98691947426,555.32177352013,307.46717693101,203.20421890251,231.75053662284,1278.5005152886,164.18216074519,22.924145751464,1511.3605551636,1284.5545112767,421
11224,3784.1832510147,2739.9908545026,1668.5484533823,1103.2132846242,730.3783906243,419.16312709749,153.32928649935,99.96717794558,767.33814377839,158.72135711045,23.503711537842,936.38837266453,1555.3646227356,365
12372,4031.7793978975,2896.0731410442,1743.9457665978,1197.0538683937,873.57451099859,612.29817700899,300.03945991369,131.46759780787,823.08349551857,177.56416003235,26.080720493798,1326.380233959,1774.129604595,434
13633,4276.8759970476,3082.0388117503,1849.2480872269,1276.1923263942,982.28164652927,782.92231291918,468.13875129534,238.77547497721,912.97324638056,203.94369719075,28.907410470488,1837.1070072791,1946.9851779012,482
