all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870,3208,714
8222,267.0,1359.4726613267,1949.0,356.0,1349.0,1650.0,796.0,217.0,279.0,2783,1816,612
9026,51.0,1245.60044419,2328.0,1360.0,513.0,1210.0,1344.0,631.0,344.0,3254,2038,646
14929,5.0,3106.1277828632,5377.4726613267,1606.0,1174.0,603.0,1070.0,1274.0,714.0,3500,2871,652
14083,0,1884.2333162676,4215.60044419,4043.0,1646.0,1001.0,548.0,456.0,290.0,2295,5689,562
20147,0,3599.0,6539.3610991309,3091.4726613267,3537.0,1432.0,914.0,503.0,532.0,3375,6632,633
25411,0,3790.0,7459.1277828632,4832.7059775944,3469.0,2914.0,1264.0,883.0,800.0,5858,8304,894
24037,0,2710.3696255602,5892.1277828632,5741.7059775944,4928.0,2953.0,1465.0,139.0,209.0,4766,10669,795
30680,0,4536.0,8311.3696255602,4189.8337604576,5429.0,4220.0,2473.0,1265.0,257.0,8193,9630,1163
35984,0,4468.0,8790.3696255602,5776.8337604576,4896.0,4903.0,3517.0,2459.0,1175.0,12054,10672,1558
