all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,nao_comerc,proib_cort,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,156.0,17.0,3701.0,3210.0,693
8073,1887.9735374818,1607.7685780885,343.39142,232.64389524505,1116.9890013963,1431.88092,497.223,367.7,623.04,109.34335685438,12.927943401628,2248.1727978681,1289.9966139502,570
8881,2471.7633816109,2392.5556080897,877.937002976,101.0377224,297.4601112,796.47787259893,884.51098539743,380.41973004712,728.711072,130.792317756,16.531174089069,1797.939716175,634.51785493145,509
9765,2410.8876375873,2515.9059694046,1338.9472020178,612.65868277287,137.38343531575,372.62566983962,634.85388723308,825.578858585,986.59288851845,144.6320528052,17.742712550607,1942.3107019633,936.31453268094,494
9227,2315.4863217051,2398.1426026042,1392.0866368712,1038.7129817502,531.71458015281,135.73483019668,149.70182691624,332.50262105248,1102.1982615012,131.55883576814,18.233761510288,1208.650769963,1412.9491977319,366
10180,2565.7612847973,2514.055680797,1241.1828463986,1001.7530781276,942.75562216311,408.20639967915,114.42585722519,193.1306571782,1354.8112849926,146.12380821057,20.756680988471,1600.398600537,1694.5603298163,420
11192,2684.0698740159,2661.1397561982,1324.6684068176,975.4966230902,1023.0270523028,752.87251019777,317.04227076777,136.50187808296,1498.132753762,165.01791692005,22.559690844112,2122.6905271227,1763.8801518894,457
10651,2633.8529789193,2643.1487139209,1386.4761795611,1059.7869598881,1058.5468152652,817.15311826262,319.66838163311,147.84478333902,847.90251338571,149.95786560952,22.180697627848,1570.3709646074,1855.9249231746,456
11772,2904.3449916726,2847.4803240896,1358.0292338911,983.60958996471,1094.3766521366,922.38710771268,628.79163036664,311.08768225336,949.11463446468,169.28139301922,24.784678734461,2141.210182708,1842.0049415175,502
12960,3029.6157835593,2994.4893201588,1480.176976487,1072.6589074223,1056.9830022378,990.09531978905,748.48341671004,624.54413151732,1201.1941407481,191.15124581949,28.017797370211,2789.2851123611,1940.3359421922,573
