all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870,3208,714
8171,137.0,1490.3724747673,2188.0,318.0,1216.0,1567.0,776.0,210.0,269.0,2642,1654,589
8914,4.0,1452.2045776697,2662.3724747673,1368.0,411.0,1002.0,1172.0,582.0,261.0,2712,1966,560
9725,0,1440.4065854225,2727.0,1378.3724747673,1090.0,490.0,890.0,1112.0,598.0,2960,2538,562
8672,0,1350.2525753573,2447.2045776697,1522.3724747673,1356.0,921.0,444.0,375.0,257.0,1984,2886,486
9461,0,1438.578473002,2679.2551452742,1496.3724747673,1168.0,1062.0,818.0,383.0,417.0,2585,2728,524
15055,0,3341.2020077528,5641.6316105235,1331.3724747673,1382.0,1031.0,943.0,785.0,601.0,3273,2758,576
14282,0,2197.7851341148,4606.8336182763,3734.3724747673,1465.0,1185.0,753.0,203.0,139.0,2280,5199,504
20349,0,4099.0,7228.9871418676,2797.0040852908,3009.0,1312.0,1038.0,639.0,228.0,3210,5811,605
25653,0,4519.0,8426.9871418676,4320.0040852908,3077.0,2491.0,1161.0,1011.0,649.0,5312,7396,820
