all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870,3208,714
8512,47.0,1881.4556268382,2784.0,244.0,1004.0,1402.0,716.0,194.0,240.0,2345,1391,547
9673,0,1976.6906014747,3561.0,1369.0,341.0,784.45562683822,995.0,476.0,171.0,2253,1816,457
15096,0,3787.0,6364.0,1359.6906014747,1090.0,404.0,709.0,933.45562683822,450.0,2422,2497,464
20400,0,5036.0,8949.0,3292.6906014747,1377.0,906.0,367.0,288.45562683822,185.0,1742,4672,428
25704,0,5561.0,10065.0,4424.6906014747,3017.0,1188.0,805.0,314.45562683822,330.0,2631,7443,514
31008,0,6423,11271.0,4274.6906014747,4315.0,2446.0,1046.0,761.45562683822,472.0,4725,8589,771
36312,0,7961.0,13884.0,4946.6906014747,4610.0,3480.0,1203.0,119.45562683822,109.0,4909,9558,789
41616,0,8208.0,14520.0,5669.6906014747,5092.0,4117.0,2848.0,1008.4556268382,154.0,8118,10767,1128
52224,0,11182,18730.0,4833.6906014747,5797.0,4612.0,3438.0,2760.4556268382,872.0,11670,10634,1469
