all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
8223.0,266.0,1350.0,1956.0,356.0,1349.0,1709.0,1004.0,183.0,50.0,2802.0,1820.0,608
9026.0,48.0,1211.0,2264.0,1349.0,527.0,1252.0,1436.0,813.0,126.0,3442.0,1997.0,647
9908.0,5.0,1116.0,2267.0,1491.0,1183.0,635.0,1128.0,1405.0,678.0,3784.0,2715.0,661
8385.0,2.0,1033.0,1946.0,1571.0,1521.0,1010.0,591.0,647.0,64.0,2308.0,3095.0,544
9204.0,0,1144.0,2130.0,1382.0,1353.0,1233.0,911.0,574.0,477.0,3119.0,2791.0,610
10103.0,0,1130.0,2238.0,1367.0,1355.0,1204.0,1104.0,888.0,817.0,3961.0,2755.0,681
8481.0,0,1050.0,1968.0,1507.0,1452.0,1224.0,951.0,312.0,17.0,2492.0,2967.0,556
9310.0,0,1154.0,2137.0,1365.0,1304.0,1260.0,1075.0,837.0,178.0,3262.0,2737.0,635
10220.0,0,1144.0,2263.0,1377.0,1312.0,1169.0,1129.0,1066.0,760.0,4077.0,2724.0,690
