all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
7114.0,457.0,842.0,1004.0,378.0,1429.0,1743.0,1013.0,192.0,56.0,2859.0,1924.0,627
6755.0,216.0,466.0,802.0,800.0,597.0,1390.0,1509.0,833.0,142.0,3687.0,1514.0,693
6414.0,111.0,286.0,536.0,675.0,730.0,682.0,1232.0,1460.0,702.0,3694.0,1600.0,702
3987.0,75.0,206.0,374.0,497.0,664.0,650.0,619.0,767.0,135.0,1822.0,1400.0,582
3786.0,57.0,169.0,297.0,352.0,522.0,582.0,602.0,580.0,625.0,1926.0,1182.0,585
3595.0,38.0,144.0,256.0,279.0,391.0,472.0,536.0,547.0,932.0,1947.0,1021.0,580
2305.0,24.0,113.0,220.0,258.0,317.0,379.0,389.0,279.0,326.0,844.0,988.0,509
2189.0,18.0,97.0,179.0,225.0,284.0,317.0,343.0,333.0,393.0,874.0,905.0,481
2079.0,11.0,84.0,154.0,192.0,265.0,270.0,283.0,316.0,504.0,893.0,840.0,464
