all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
7491.0,478.0,982.0,1214.0,379.0,1434.0,1743.0,1013.0,192.0,56.0,2859.0,1930.0,627
7491.0,238.0,641.0,1146.0,962.0,609.0,1404.0,1513.0,836.0,142.0,3730.0,1679.0,697
7491.0,123.0,490.0,904.0,962.0,890.0,701.0,1251.0,1467.0,703.0,3840.0,2006.0,706
5187.0,83.0,376.0,703.0,785.0,960.0,784.0,646.0,747.0,103.0,2033.0,1924.0,587
5187.0,55.0,332.0,600.0,618.0,839.0,828.0,718.0,612.0,585.0,2442.0,1672.0,614
5187.0,33.0,310.0,546.0,540.0,661.0,746.0,745.0,670.0,936.0,2663.0,1475.0,632
3589.0,19.0,256.0,472.0,515.0,581.0,605.0,593.0,339.0,209.0,1375.0,1382.0,520
3589.0,10.0,233.0,421.0,447.0,556.0,527.0,534.0,512.0,349.0,1531.0,1302.0,505
3589.0,7.0,213.0,397.0,386.0,505.0,501.0,460.0,500.0,620.0,1648.0,1199.0,499
