all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
8151.0,381.0,1259.0,1744.0,371.0,1406.0,1734.0,1011.0,190.0,55.0,2843.0,1894.0,623
8870.0,123.0,1065.0,1997.0,1319.0,576.0,1347.0,1489.0,820.0,134.0,3644.0,1997.0,668
9652.0,35.0,948.0,1959.0,1516.0,1187.0,672.0,1210.0,1442.0,683.0,3907.0,2766.0,687
7952.0,9.0,834.0,1607.0,1535.0,1557.0,1031.0,631.0,679.0,69.0,2400.0,3101.0,581
8653.0,2.0,905.0,1670.0,1200.0,1463.0,1354.0,942.0,606.0,511.0,3367.0,2697.0,649
9416.0,1.0,920.0,1767.0,1269.0,1224.0,1263.0,1207.0,892.0,873.0,4118.0,2579.0,717
7557.0,0,821.0,1525.0,1333.0,1365.0,1114.0,1018.0,350.0,31.0,2494.0,2717.0,592
8223.0,0,880.0,1600.0,1135.0,1278.0,1213.0,999.0,900.0,218.0,3243.0,2462.0,649
8948.0,0,908.0,1688.0,1241.0,1107.0,1090.0,1085.0,986.0,843.0,3875.0,2434.0,697
