all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
9813.0,471.0,1344.0,708.0,714.0,1639.0,1723.0,1110.0,721.0,1383.0,4749.0,2468.0,814
9813.0,184.0,995.0,710.0,931.0,1276.0,1655.0,1231.0,972.0,1859.0,5621.0,2252.0,898
3523.0,62.0,614.0,585.0,891.0,1321.0,13.0,11.0,11.0,15.0,0.0,2243.0,973
3523.0,17.0,318.0,418.0,753.0,1251.0,722.0,9.0,10.0,25.0,693.0,2075.0,699
3523.0,2.0,133.0,270.0,560.0,1110.0,726.0,679.0,8.0,35.0,1248.0,1868.0,722
1918.0,0.0,44.0,145.0,383.0,904.0,123.0,191.0,91.0,37.0,0.0,1612.0,722
1918.0,0.0,16.0,60.0,229.0,694.0,479.0,122.0,190.0,128.0,365.0,1477.0,722
1918.0,0.0,4.0,23.0,111.0,496.0,365.0,479.0,122.0,318.0,534.0,1357.0,722
1309.0,0.0,0.0,10.0,46.0,311.0,96.0,194.0,212.0,440.0,0.0,1203.0,722
