all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
50245.0,40858.0,1128.0,965.0,359.0,1514.0,1726.0,1250.0,981.0,1464.0,5177.0,2002.0,871
90677.0,63838.0,17843.0,1000.0,705.0,818.0,1372.0,1419.0,1383.0,2299.0,6239.0,1598.0,971
131109.0,76834.0,34349.0,11206.0,740.0,913.0,837.0,1157.0,1613.0,3460.0,6775.0,1738.0,1047
171541.0,84489.0,46495.0,23577.0,8273.0,950.0,770.0,779.0,1417.0,4791.0,7757.0,9223.0,1144
211973.0,88821.0,54437.0,34714.0,18479.0,7070.0,705.0,767.0,1032.0,5948.0,8452.0,25549.0,1207
252405.0,90987.0,59926.0,42221.0,28880.0,17035.0,4911.0,698.0,958.0,6789.0,13356.0,45915.0,1648
292837.0,92431.0,62814.0,47940.0,36157.0,28160.0,13093.0,3797.0,779.0,7666.0,25335.0,64317.0,2855
333269.0,93153.0,64258.0,51550.0,41876.0,36881.0,23412.0,10077.0,3634.0,8428.0,45551.0,78757.0,4902
373701.0,93860.0,64995.0,53428.0,45052.0,44764.0,31827.0,18380.0,10055.0,11340.0,71602.0,89816.0,7485
