all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
97897.0,88510.0,1128.0,965.0,359.0,1514.0,1726.0,1250.0,981.0,1464.0,5177.0,2002.0,871
185981.0,138761.0,38224.0,1000.0,705.0,818.0,1372.0,1419.0,1383.0,2299.0,6239.0,1598.0,971
274065.0,167626.0,74134.0,23585.0,740.0,913.0,837.0,1157.0,1613.0,3460.0,6775.0,1738.0,1047
362149.0,184232.0,100821.0,51404.0,16985.0,950.0,770.0,779.0,1417.0,4791.0,7757.0,17935.0,1144
450233.0,193618.0,118408.0,75556.0,40212.0,13987.0,705.0,767.0,1032.0,5948.0,8452.0,54199.0,1207
538317.0,199272.0,129360.0,92421.0,62555.0,36602.0,9662.0,698.0,958.0,6789.0,18107.0,99157.0,2128
626401.0,202160.0,136458.0,104090.0,78703.0,60754.0,28311.0,7480.0,779.0,7666.0,44236.0,139457.0,4768
714485.0,203604.0,140068.0,112032.0,90250.0,81190.0,50325.0,21813.0,6775.0,8428.0,87341.0,171440.0,9071
802569.0,205048.0,141512.0,116364.0,98192.0,96347.0,70039.0,40217.0,21091.0,13759.0,145106.0,194539.0,14847
