all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
9813.0,426.0,1128.0,965.0,359.0,1514.0,1726.0,1250.0,981.0,1464.0,5177.0,2002.0,871
9813.0,137.0,680.0,1000.0,705.0,818.0,1372.0,1419.0,1383.0,2299.0,6239.0,1598.0,971
9813.0,15.0,327.0,751.0,740.0,913.0,837.0,1157.0,1613.0,3460.0,6775.0,1738.0,1047
9813.0,0,112.0,462.0,532.0,950.0,770.0,779.0,1417.0,4791.0,7208.0,1679.0,1144
9813.0,0,15.0,213.0,348.0,785.0,705.0,767.0,1032.0,5948.0,7444.0,1546.0,1207
9813.0,0,0.0,71.0,157.0,577.0,563.0,698.0,958.0,6789.0,7452.0,1411.0,1240
9813.0,0,0.0,11.0,60.0,343.0,396.0,558.0,779.0,7666.0,7271.0,1357.0,1282
9813.0,0,0.0,0.0,11.0,153.0,251.0,395.0,575.0,8428.0,7183.0,1340.0,1307
9813.0,0,0.0,0.0,0.0,43.0,121.0,251.0,404.0,8994.0,7196.0,1334.0,1312
