all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
9813.0,1148.0,1119.0,911.0,338.0,1507.0,1703.0,1214.0,930.0,943.0,4618.0,1942.0,777
9813.0,1133.0,1102.0,941.0,614.0,790.0,1348.0,1365.0,1285.0,1235.0,5104.0,1444.0,806
9813.0,1131.0,1082.0,941.0,641.0,793.0,795.0,1114.0,1518.0,1798.0,5089.0,1470.0,785
9813.0,1131.0,1077.0,927.0,633.0,819.0,616.0,724.0,1347.0,2539.0,5116.0,1474.0,789
9813.0,1131.0,1076.0,923.0,610.0,837.0,553.0,583.0,963.0,3137.0,5154.0,1460.0,791
9813.0,1131.0,1076.0,922.0,603.0,824.0,562.0,515.0,754.0,3426.0,5175.0,1440.0,792
9813.0,1131.0,1076.0,922.0,602.0,817.0,548.0,526.0,575.0,3616.0,5183.0,1432.0,793
9813.0,1131.0,1076.0,922.0,602.0,816.0,538.0,517.0,515.0,3696.0,5184.0,1431.0,793
9813.0,1131.0,1076.0,922.0,602.0,816.0,536.0,508.0,500.0,3722.0,5184.0,1431.0,793
