all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813.0,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870.0,3208.0,714
9813.0,1846.0,1085.0,856.0,332.0,1490.0,1671.0,1159.0,795.0,579.0,4084.0,1890.0,688
9813.0,2394.0,1116.0,840.0,551.0,761.0,1308.0,1262.0,1028.0,553.0,4083.0,1329.0,656
9813.0,2761.0,1241.0,861.0,550.0,698.0,750.0,1003.0,1232.0,717.0,3608.0,1276.0,597
9813.0,2761.0,1608.0,962.0,540.0,683.0,503.0,633.0,1096.0,1027.0,3197.0,1235.0,527
9813.0,2761.0,1771.0,1171.0,577.0,672.0,408.0,439.0,775.0,1239.0,2837.0,1252.0,485
9813.0,2761.0,1771.0,1392.0,676.0,712.0,382.0,339.0,540.0,1240.0,2493.0,1389.0,435
9813.0,2761.0,1771.0,1503.0,755.0,801.0,400.0,314.0,346.0,1162.0,2222.0,1556.0,408
9813.0,2761.0,1771.0,1503.0,848.0,900.0,432.0,322.0,259.0,1017.0,2030.0,1748.0,377
9813.0,2761.0,1771.0,1503.0,848.0,1006.0,473.0,347.0,252.0,852.0,1924.0,1854.0,363
