class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3201.0,3194.0,714
426.0,1128.0,965.0,359.0,1514.0,1726.0,1250.0,981.0,1464.0,4439.0,1984.0,871
137.0,680.0,1000.0,705.0,818.0,1372.0,1419.0,1383.0,2299.0,5432.0,1593.0,971
15.0,327.0,751.0,740.0,913.0,837.0,1157.0,1613.0,3460.0,5940.0,1733.0,1047
0.0,112.0,462.0,532.0,950.0,770.0,779.0,1417.0,4791.0,6424.0,1671.0,1144
0.0,15.0,213.0,348.0,785.0,705.0,767.0,1032.0,5948.0,6852.0,1526.0,1207
0.0,0.0,71.0,157.0,577.0,563.0,698.0,958.0,6789.0,7112.0,1390.0,1240
0.0,0.0,11.0,60.0,343.0,396.0,558.0,779.0,7666.0,7184.0,1336.0,1282
0.0,0.0,0.0,11.0,153.0,251.0,395.0,575.0,8428.0,7187.0,1319.0,1307
0.0,0.0,0.0,0.0,43.0,121.0,251.0,404.0,8994.0,7188.0,1313.0,1312
