class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3201.0,3194.0,714
115946.0,1128.0,965.0,359.0,1514.0,1726.0,1250.0,981.0,1464.0,4439.0,1984.0,871
182068.0,49789.0,1000.0,705.0,818.0,1372.0,1419.0,1383.0,2299.0,5432.0,1593.0,971
219612.0,97674.0,30367.0,740.0,913.0,736.0,265.0,62.0,58.0,0,1733.0,1047
241270.0,132332.0,67657.0,21927.0,950.0,724.0,702.0,265.0,120.0,1098.0,22877.0,713
253544.0,155232.0,99122.0,53213.0,17850.0,699.0,720.0,704.0,383.0,1784.0,71063.0,722
260764.0,169670.0,121502.0,81590.0,48319.0,1899.0,0,0,0,0,129909.0,1899
264974.0,178456.0,136460.0,103450.0,79584.0,34896.0,1444,0,0,32370.0,183034.0,3970
267140.0,183510.0,146566.0,118410.0,106338.0,65144.0,26232,1444,0,83430.0,224748.0,9390
268584.0,186276.0,152464.0,128516.0,126352.0,17328.0,0,0,0,0,254868.0,17328
