class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3218.0,3177.0,714
115946.0,1128.0,965.0,359.0,1514.0,1726.0,1250.0,981.0,1464.0,4463.0,1960.0,871
182068.0,49789.0,1000.0,705.0,818.0,1372.0,1419.0,1383.0,2299.0,5442.0,1583.0,971
219612.0,97674.0,30367.0,740.0,913.0,837.0,1157.0,1613.0,3460.0,5946.0,1727.0,1047
241270.0,132332.0,67657.0,21927.0,950.0,770.0,779.0,1417.0,4791.0,6613.0,22877.0,1144
253544.0,155232.0,99122.0,53213.0,17850.0,705.0,767.0,1032.0,5948.0,7245.0,71063.0,1207
260764.0,169670.0,121502.0,81590.0,48319.0,12643.0,698.0,958.0,6789.0,18662.0,129909.0,2426
264974.0,178456.0,136460.0,103450.0,79584.0,37354.0,9730.0,779.0,7666.0,49655.0,183034.0,5874
267140.0,183510.0,146566.0,118410.0,106338.0,65866.0,28691.0,9024.0,8428.0,100484.0,224748.0,11525
268584.0,186276.0,152464.0,128516.0,126352.0,91898.0,52148.0,27264.0,15991.0,168245.0,254868.0,19056
